EntryID,LigandFormula,LigandMW,LigandID,LigandName,InChIKey,LigandSMILES,LigandofInterest,AsymID,AuthAsymID,EntityID,freeLigand,numTotalCount
9DF3,C24 H25 Cl N4 O4,468.933,A1IMS,"3-[(3-chloranyl-2-methoxy-phenyl)amino]-2-[3-[[(2S)-oxolan-2-yl]methoxy]pyridin-4-yl]-1,5,6,7-tetrahydropyrrolo[3,2-c]pyridin-4-one",FDWHIPNBDNBCNI-CQSZACIVSA-N,COc1c(cccc1Cl)Nc2c3c([nH]c2c4ccncc4OCC5CCCO5)CCNC3=O,Y,B,A,2,TRUE,1
9DF3,C2 H6 O2,62.068,EDO,"1,2-ETHANEDIOL",LYCAIKOWRPUZTN-UHFFFAOYSA-N,C(CO)O,NA,"C, D",A,3,TRUE,2
9DF3,C3 H8 O3,92.094,GOL,GLYCEROL,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C(C(CO)O)O,NA,"E, F, G, H, I, J",A,4,TRUE,6
9DF4,Cl,35.453,CL,CHLORIDE ION,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-],NA,"C, D, E, F",A,3,TRUE,4
9DF4,C2 H6 O2,62.068,EDO,"1,2-ETHANEDIOL",LYCAIKOWRPUZTN-UHFFFAOYSA-N,C(CO)O,NA,"G, H, I, J, K, L, M, N, O",A,4,TRUE,9
9DF4,C3 H8 O3,92.094,GOL,GLYCEROL,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C(C(CO)O)O,NA,"P, Q, R, S, T, U, V, W, X, Y",A,5,TRUE,10
9DF8,C2 H3 O2,59.044,ACT,ACETATE ION,QTBSBXVTEAMEQO-UHFFFAOYSA-M,CC(=O)[O-],NA,"C, G, I","A, B",2,TRUE,3
9DF8,C3 H8 O3,92.094,GOL,GLYCEROL,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C(C(CO)O)O,NA,"D, E, F, J, K","A, B",3,TRUE,5
9DFB,C2 H6 O2,62.068,EDO,"1,2-ETHANEDIOL",LYCAIKOWRPUZTN-UHFFFAOYSA-N,C(CO)O,NA,D,B,3,TRUE,1
9DFI,C3 H8 O3,92.094,GOL,GLYCEROL,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C(C(CO)O)O,NA,"C, D, E, H, J, K, L","A, B",2,TRUE,7
9DFI,C11 H12 N2 O2,204.225,TRP,TRYPTOPHAN,QIVBCDIJIAJPQS-VIFPVBQESA-N,c1ccc2c(c1)c(c[nH]2)CC(C(=O)O)N,Y,"G, N","A, B",4,TRUE,2
9DFI,C4 H12 N O3,122.143,TRS,"2-AMINO-2-HYDROXYMETHYL-PROPANE-1,3-DIOL",LENZDBCJOHFCAS-UHFFFAOYSA-O,C(C(CO)(CO)[NH3+])O,NA,I,B,5,TRUE,1
9DFN,C15 H22 N6 O5 S,398.437,SAM,S-ADENOSYLMETHIONINE,MEFKEPWMEQBLKI-FCKMPRQPSA-N,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)n2cnc3c2ncnc3N)O)O,Y,C,A,3,TRUE,1
9DFN,C9 H16 N3 O14 P3,483.156,CTP,CYTIDINE-5'-TRIPHOSPHATE,PCDQPRRSZKQHHS-XVFCMESISA-N,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,Y,D,A,4,TRUE,1
9DFN,Cl,35.453,CL,CHLORIDE ION,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-],NA,E,A,5,TRUE,1
9DFO,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],Y,B,A,2,TRUE,1
9DFP,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],Y,B,A,2,TRUE,1
9DFQ,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],Y,B,A,2,TRUE,1
9DFR,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],Y,B,A,2,TRUE,1
9DFW,C15 H22 N6 O5 S,398.437,SAM,S-ADENOSYLMETHIONINE,MEFKEPWMEQBLKI-FCKMPRQPSA-N,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)n2cnc3c2ncnc3N)O)O,Y,"E, L, O","A, B, C",3,TRUE,3
9DFW,C9 H16 N3 O14 P3,483.156,CTP,CYTIDINE-5'-TRIPHOSPHATE,PCDQPRRSZKQHHS-XVFCMESISA-N,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,Y,"F, M, P","A, B, C",4,TRUE,3
9DFW,C8 H18 N2 O4 S,238.305,EPE,4-(2-HYDROXYETHYL)-1-PIPERAZINE ETHANESULFONIC ACID,JKMHFZQWWAIEOD-UHFFFAOYSA-N,C1CN(CCN1CCO)CCS(=O)(=O)O,NA,"G, H",A,5,TRUE,2
9DFW,C3 H8 O3,92.094,GOL,GLYCEROL,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C(C(CO)O)O,NA,Q,C,7,TRUE,1
9DGW,C9 H16 N3 O14 P3,483.156,CTP,CYTIDINE-5'-TRIPHOSPHATE,PCDQPRRSZKQHHS-XVFCMESISA-N,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,Y,"D, I, K","A, B, C",2,TRUE,3
9DGW,C15 H22 N6 O5 S,398.437,SAM,S-ADENOSYLMETHIONINE,MEFKEPWMEQBLKI-FCKMPRQPSA-N,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)n2cnc3c2ncnc3N)O)O,Y,"F, H, J","A, B, C",4,TRUE,3
9DHL,C16 H15 Cl N2 O4 S,366.819,A1AU5,"N-(1-acetyl-2,3-dihydro-1H-indol-4-yl)-3-chloro-2-hydroxybenzene-1-sulfonamide",OIXKKLRRYRMQMK-UHFFFAOYSA-N,CC(=O)N1CCc2c1cccc2NS(=O)(=O)c3cccc(c3O)Cl,Y,"C, D","A, B",2,TRUE,2
9DI9,C10 H15 N5 O10 P2,427.201,ADP,ADENOSINE-5'-DIPHOSPHATE,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N,NA,B,A,2,TRUE,1
9DI9,C16 H8 F4 O3 S,356.292,A1A40,"(3M)-6-fluoro-3-(2,4,5-trifluoro-3-methoxyphenyl)-1-benzothiophene-2-carboxylic acid",FXLDAQFHCAENIV-UHFFFAOYSA-N,COc1c(c(cc(c1F)F)c2c3ccc(cc3sc2C(=O)O)F)F,Y,E,A,5,TRUE,1
9DI9,O4 P,94.971,PO4,PHOSPHATE ION,NBIIXXVUZAFLBC-UHFFFAOYSA-K,[O-]P(=O)([O-])[O-],Y,F,A,6,TRUE,1
