Model Filename,Job Name, epoch,Grid spacing,Image type
modelAtomSymbolGroups_ligs-78911_img-qRankMask_5_gridspace-05_k1.ckpt,train_lr-8_lossSL_w1-6-16-44-108-853_batch16iter1_gridsp0.5_rot0.5_train_qRankMask_5_kfold_1_model-MinkUNet34C_CONVATROUS_HYBRID_Wed_Mar_8_09-59-42_2023,160,0.5,qRankMask_5
modelAtomSymbolGroups_ligs-78911_img-qRankMask_5_gridspace-05_k13.ckpt,train_lr-8_lossSL_w1-6-16-44-108-853_batch16iter1_gridsp0.5_rot0.5_train_qRankMask_5_kfold_13_model-MinkUNet34C_CONVATROUS_HYBRID_Thu_Mar_16_19-35-39_2023,160,0.5,qRankMask_5
